
RAxML-NG v. 1.1.0-master released on 04.08.2022 by The Exelixis Lab.
Developed by: Alexey M. Kozlov and Alexandros Stamatakis.
Contributors: Diego Darriba, Tomas Flouri, Benoit Morel, Sarah Lutteropp, Ben Bettisworth.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

System: Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz, 2 cores, 15 GB RAM

RAxML-NG was called at 12-Dec-2022 12:31:49 as follows:

./../tools/raxml-ng/build/bin/raxml-ng --msa data/language_alignments/morpho.phy --model BIN --prefix output/raxml/interim/pars100rand100bin --threads 2 --seed 2 --tree pars{100},rand{100}

Analysis options:
  run mode: ML tree search
  start tree(s): random (100) + parsimony (100)
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  fast spr radius: AUTO
  spr subtree cutoff: 1.000000
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX2
  parallelization: coarse-grained (auto), PTHREADS (2 threads), thread pinning: OFF

[00:00:00] Reading alignment from file: data/language_alignments/morpho.phy
[00:00:00] Loaded alignment with 46 taxa and 425 sites

Alignment comprises 1 partitions and 260 patterns

Partition 0: noname
Model: BIN+FO
Alignment sites / patterns: 425 / 260
Gaps: 2.81 %
Invariant sites: 39.76 %

[00:03:39] [worker #1] ML tree search #176, logLikelihood: -4172.019242
[00:03:39] [worker #0] ML tree search #179, logLikelihood: -4148.769960
[00:03:41] [worker #0] ML tree search #181, logLikelihood: -4148.769930
[00:03:41] [worker #1] ML tree search #178, logLikelihood: -4146.943355
[00:03:43] [worker #0] ML tree search #183, logLikelihood: -4143.958449
[00:03:43] [worker #1] ML tree search #180, logLikelihood: -4146.943362
[00:03:46] [worker #1] ML tree search #182, logLikelihood: -4143.958516
[00:03:46] [worker #0] ML tree search #185, logLikelihood: -4141.014555
[00:03:47] [worker #1] ML tree search #184, logLikelihood: -4143.958430
[00:03:47] [worker #0] ML tree search #187, logLikelihood: -4146.943355
[00:03:49] [worker #1] ML tree search #186, logLikelihood: -4143.958432
[00:03:50] [worker #0] ML tree search #189, logLikelihood: -4148.837016
[00:03:51] [worker #1] ML tree search #188, logLikelihood: -4143.958429
[00:03:52] [worker #0] ML tree search #191, logLikelihood: -4148.837026
[00:03:53] [worker #1] ML tree search #190, logLikelihood: -4141.014557
[00:03:54] [worker #0] ML tree search #193, logLikelihood: -4141.014879
[00:03:55] [worker #1] ML tree search #192, logLikelihood: -4143.958449
[00:03:56] [worker #0] ML tree search #195, logLikelihood: -4143.958431
[00:03:58] [worker #1] ML tree search #194, logLikelihood: -4146.943587
[00:03:58] [worker #0] ML tree search #197, logLikelihood: -4157.648068
[00:04:00] [worker #1] ML tree search #196, logLikelihood: -4141.014555
[00:04:00] [worker #0] ML tree search #199, logLikelihood: -4143.958565
[00:04:01] [worker #1] ML tree search #198, logLikelihood: -4141.014579
[00:04:03] [worker #1] ML tree search #200, logLikelihood: -4170.202268

Optimized model parameters:

   Partition 0: noname
   Rate heterogeneity: NONE
   Base frequencies (ML): 0.780561 0.219439 
   Substitution rates (ML): 1.000000 


Final LogLikelihood: -4141.014554

AIC score: 8462.029109 / AICc score: 8511.071025 / BIC score: 8826.717134
Free parameters (model + branch lengths): 90

WARNING: Best ML tree contains 1 near-zero branches!

Best ML tree with collapsed near-zero branches saved to: /home/luise/master_thesis/scripts/output/raxml/interim/pars100rand100bin.raxml.bestTreeCollapsed
Best ML tree saved to: /home/luise/master_thesis/scripts/output/raxml/interim/pars100rand100bin.raxml.bestTree
All ML trees saved to: /home/luise/master_thesis/scripts/output/raxml/interim/pars100rand100bin.raxml.mlTrees
Optimized model saved to: /home/luise/master_thesis/scripts/output/raxml/interim/pars100rand100bin.raxml.bestModel

Execution log saved to: /home/luise/master_thesis/scripts/output/raxml/interim/pars100rand100bin.raxml.log

Analysis started: 12-Dec-2022 12:31:49 / finished: 12-Dec-2022 12:35:53

Elapsed time: 243.131 seconds

