phlorest_taxa_id,lexibank_taxa_id
Njen_Grassfields,njengrassfields
Oku_Grassfields,okugrassfields
P11_Ndengeleko,p11ndengeleko
P12_Rufiji,p12rufiji
P13_Matumbi,p13matumbi
P14_Ngindo,p14ngindo
P15_Mbunga,p15mbunga
P21_Yao,p21yao
P22_Mwera,p22mwera
P23_Simakonde,p23simakonde
P25_Mabia,p25mabia
P31G_Ikorovere,p31gikorovere
P31_Emakhua,p31emakhua
R11_Umbundu,r11umbundu
R21_Kwanyama,r21kwanyama
R22_Ndonga,r22ndonga
R31_Herero,r31herero
S11_Shona,s11shona
S16_Kalanga,s16kalanga
S21_Venda,s21venda
S311_Shekgalagari,s311shekgalagari
S31_Tswana,s31tswana
S41_Xhosa,s41xhosa
S42_Zulu,s42zulu
S44_Ndebele,s44ndebele
S51_Tshwa,s51tshwa
S53_Tsonga,s53tsonga
Tiv_Tivoid,tivtivoid
Zaambo_Jarawan,zaambojarawan
,d305nyangali
,d308ebodo
,d308bodo2
,d304homa1919
,d20bvamba1919
